id,seller_id,latitude,longitude,datetime,created_at,updated_at
222,1,7.1293325,-73.1220132,2020-07-06 11:04:46,2020-07-06 11:04:46,2020-07-06 11:04:46
223,3,7.1312236,-73.1297566,2020-07-06 11:05:12,2020-07-06 11:05:12,2020-07-06 11:05:12
224,1,7.1295157,-73.1220738,2020-07-06 11:05:16,2020-07-06 11:05:16,2020-07-06 11:05:16
225,3,7.1312228,-73.1297589,2020-07-06 11:05:43,2020-07-06 11:05:43,2020-07-06 11:05:43
226,1,7.1296021,-73.1220515,2020-07-06 11:05:46,2020-07-06 11:05:46,2020-07-06 11:05:46
227,3,7.1312224,-73.129758,2020-07-06 11:06:13,2020-07-06 11:06:13,2020-07-06 11:06:13
228,1,7.1293213,-73.1218954,2020-07-06 11:06:17,2020-07-06 11:06:17,2020-07-06 11:06:17
229,3,7.1312241,-73.1297592,2020-07-06 11:06:43,2020-07-06 11:06:43,2020-07-06 11:06:43
230,1,7.1293134,-73.1219434,2020-07-06 11:06:51,2020-07-06 11:06:51,2020-07-06 11:06:51
231,1,7.1293134,-73.1219434,2020-07-06 11:06:51,2020-07-06 11:06:51,2020-07-06 11:06:51
232,34,3.493089,-76.4952391,2020-07-06 11:07:04,2020-07-06 11:07:04,2020-07-06 11:07:04
233,3,7.1312229,-73.1297587,2020-07-06 11:07:13,2020-07-06 11:07:13,2020-07-06 11:07:13
234,1,7.1291221,-73.1219567,2020-07-06 11:07:18,2020-07-06 11:07:18,2020-07-06 11:07:18
235,3,7.1312229,-73.1297587,2020-07-06 11:07:20,2020-07-06 11:07:20,2020-07-06 11:07:20
236,1,7.1291221,-73.1219567,2020-07-06 11:07:37,2020-07-06 11:07:37,2020-07-06 11:07:37
237,3,7.1312228,-73.1297583,2020-07-06 11:07:44,2020-07-06 11:07:44,2020-07-06 11:07:44
238,1,7.1292644,-73.1218988,2020-07-06 11:07:49,2020-07-06 11:07:49,2020-07-06 11:07:49
239,3,7.131223,-73.1297591,2020-07-06 11:08:14,2020-07-06 11:08:14,2020-07-06 11:08:14
240,1,7.1290043,-73.1220798,2020-07-06 11:08:20,2020-07-06 11:08:20,2020-07-06 11:08:20
241,3,7.1312228,-73.1297585,2020-07-06 11:08:44,2020-07-06 11:08:44,2020-07-06 11:08:44
242,1,7.1293291,-73.1218705,2020-07-06 11:08:50,2020-07-06 11:08:50,2020-07-06 11:08:50
243,3,7.1312228,-73.1297585,2020-07-06 11:08:54,2020-07-06 11:08:54,2020-07-06 11:08:54
244,34,3.493089,-76.4952391,2020-07-06 11:09:04,2020-07-06 11:09:04,2020-07-06 11:09:04
245,3,7.1312194,-73.1297611,2020-07-06 11:09:15,2020-07-06 11:09:15,2020-07-06 11:09:15
246,1,7.1295645,-73.1219764,2020-07-06 11:09:21,2020-07-06 11:09:21,2020-07-06 11:09:21
248,3,7.1312204,-73.1297598,2020-07-06 11:09:45,2020-07-06 11:09:45,2020-07-06 11:09:45
249,1,7.1296597,-73.1219603,2020-07-06 11:09:51,2020-07-06 11:09:51,2020-07-06 11:09:51
250,3,7.1311694,-73.129751,2020-07-06 11:10:15,2020-07-06 11:10:15,2020-07-06 11:10:15
251,1,7.1297301,-73.1219684,2020-07-06 11:10:22,2020-07-06 11:10:22,2020-07-06 11:10:22
252,3,7.1311681,-73.1297478,2020-07-06 11:10:46,2020-07-06 11:10:46,2020-07-06 11:10:46
253,1,7.1296262,-73.1220961,2020-07-06 11:10:53,2020-07-06 11:10:53,2020-07-06 11:10:53
254,3,7.1312255,-73.1297606,2020-07-06 11:11:16,2020-07-06 11:11:16,2020-07-06 11:11:16
255,1,7.1293324,-73.1221998,2020-07-06 11:11:23,2020-07-06 11:11:23,2020-07-06 11:11:23
256,3,7.1311703,-73.1297506,2020-07-06 11:11:47,2020-07-06 11:11:47,2020-07-06 11:11:47
257,1,7.1294684,-73.1221513,2020-07-06 11:11:54,2020-07-06 11:11:54,2020-07-06 11:11:54
258,34,3.493089,-76.4952391,2020-07-06 11:12:04,2020-07-06 11:12:04,2020-07-06 11:12:04
259,3,7.1311746,-73.1297485,2020-07-06 11:12:17,2020-07-06 11:12:17,2020-07-06 11:12:17
260,1,7.1295823,-73.1220121,2020-07-06 11:12:25,2020-07-06 11:12:25,2020-07-06 11:12:25
261,1,7.1295823,-73.1220121,2020-07-06 11:12:36,2020-07-06 11:12:36,2020-07-06 11:12:36
262,3,7.1312238,-73.1297613,2020-07-06 11:12:47,2020-07-06 11:12:47,2020-07-06 11:12:47
263,1,7.1294546,-73.1220207,2020-07-06 11:12:55,2020-07-06 11:12:55,2020-07-06 11:12:55
264,3,7.1312235,-73.129754,2020-07-06 11:13:18,2020-07-06 11:13:18,2020-07-06 11:13:18
265,1,7.1294719,-73.1221149,2020-07-06 11:13:26,2020-07-06 11:13:26,2020-07-06 11:13:26
266,3,7.1312235,-73.129754,2020-07-06 11:13:26,2020-07-06 11:13:26,2020-07-06 11:13:26
267,3,7.1312239,-73.1297545,2020-07-06 11:13:52,2020-07-06 11:13:52,2020-07-06 11:13:52
268,3,7.1312239,-73.1297545,2020-07-06 11:13:54,2020-07-06 11:13:54,2020-07-06 11:13:54
